Subject,Title,Instructor(s),Learning Product,Level,Duration,Gained Skills,Rate,Reviews,Data_Source
Personal Development,The 1-2-3 of Public Speaking for Women,Dee Omar,Course,Not specified,0.7 hours,Leadership Public Speaking,5.0,3,Public Dataset
Photography & Video,Photoshop Elements 2021 Made Easy Training Tutorial,"TeachUcomp, Inc.",Course,Not specified,8.0 hours,Photography Tools Photoshop,4.1,12,Public Dataset
Finance & Accounting,Basics of SARFAESI Act A Complete Study,"Raja Natarajan, B.Com., PGDBA, FCA",Course,Not specified,2.5 hours,Compliance Banking,4.7,2,Public Dataset
Finance & Accounting,Bahrain VAT: How it works and its rules,Tanweer Sheikh,Course,Not specified,4.5 hours,Taxes Value Added Tax (VAT),4.7,6,Public Dataset
Finance & Accounting,Complete Financial Modeling for Project Finance in Excel,Greg Ahuy,Course,Not specified,10.5 hours,Financial Modeling & Analysis Financial Modeling,4.3,370,Public Dataset
Marketing,The Ultimate E-Commerce Conversion Rate Optimisation Course,The Digital Hack Academy,Course,Not specified,2.5 hours,Other Marketing Conversion Rate Optimization,3.6,73,Public Dataset
Design,CFD a professional Approach to Solve Industrial Problems,Sabyasachi Majumder,Course,Not specified,8.0 hours,Other Design Unknown,0.0,0,Public Dataset
IT & Software,Learn CCNA Cert Prep - ICND2,Nadeere Binbila,Course,Not specified,2.0 hours,IT Certifications Cisco CCNA,5.0,2,Public Dataset
Health & Fitness,An Empath’s Survival Guide - Protect and Deflect,Lisa Mohr,Course,Not specified,1.5 hours,Meditation Energy,4.9,25,Public Dataset
Design,Photoshop for 3D Artists - The Quickest Way,"Jake Denham BA, MA, Official V-Ray Mentor",Course,Not specified,2.0 hours,3D & Animation Photoshop,5.0,3,Public Dataset
Business,Simple and Effective Sales Call Planning,Illumeo Learning,Course,Not specified,0.65 hours,Sales Sales Skills,5.0,2,Public Dataset
Design,Design 1000: A Design & Documentation Primer,Randall Nagy,Course,Not specified,0.0 hours,Design Thinking Document Management,4.4,3,Public Dataset
Development,Learning VMware App Volumes,Packt Publishing,Course,Not specified,5.5 hours,Database Design & Development VMWare App Volumes,4.7,46,Public Dataset
Teaching & Academics,Algebra 1- A complete guide to learning algebra,Ngozi Orevaoghene (Ph.D),Course,Not specified,4.5 hours,Math Algebra,0.0,0,Public Dataset
